"Date & Time","Barometer - hPa","Inside Temp - °C","Inside Hum - %","Inside Dew Point - °C","Inside Heat Index - °C","Inside EMC","Temp - °C","High Temp - °C","Low Temp - °C","Hum - %","Dew Point - °C","Wet Bulb - °C","Wind Speed - km/h","Wind Direction","Wind Run - km","High Wind Speed - km/h","High Wind Direction","Wind Chill - °C","Heat Index - °C","THW Index - °C","THSW Index - °C","Rain - mm","Rain Rate - mm/h","Solar Rad - W/m^2","Solar Energy - Ly","High Solar Rad - W/m^2","ET - mm","UV Index","UV Dose - MEDs","High UV Index","Heating Degree Days","Cooling Degree Days"
"5/2/13 10:00","1006,3","19","38","5","18","7,6","5","5","5","88","4","--","13","WSW","6,4","31","WSW","3","5","3","3","0,0","0,0","79","3,40","160","0,1","0","0,0","1","0,269","0,000"
"5/2/13 10:30","1006,0","20","38","5","18","7,6","4","5","4","90","3","--","3","W","1,6","23","WSW","4","4","4","4","0,2","0,0","48","2,07","151","0,0","0","0,0","1","0,288","0,000"
"5/2/13 11:00","1005,5","20","38","5","19","7,6","5","5","4","89","3","--","6","WSW","3,2","24","WSW","4","5","4","3","0,2","0,0","46","1,98","95","0,0","0","0,0","0","0,275","0,000"
"5/2/13 11:30","1004,7","20","38","5","18","7,6","7","7","5","79","3","--","16","WSW","8,0","40","WSW","3","6","3","6","0,2","0,8","272","11,70","473","0,0","1","0,2","1","0,247","0,000"
"5/2/13 12:00","1004,0","20","38","5","18","7,6","6","7","6","75","2","--","13","WSW","6,4","31","WSW","4","6","3","6","0,0","0,0","184","7,92","380","0,1","1","0,2","1","0,250","0,000"
"5/2/13 12:30","1003,5","20","38","5","19","7,6","7","7","6","71","2","--","13","WSW","6,4","29","SSW","4","6","4","6","0,0","0,0","187","8,05","411","0,0","1","0,2","1","0,242","0,000"
"5/2/13 13:00","1003,2","20","38","5","19","7,6","7","7","7","70","2","--","16","WSW","8,0","35","SW","4","7","3","5","0,0","0,0","160","6,88","218","0,1","0","0,1","1","0,241","0,000"
"5/2/13 13:30","1003,0","20","38","5","18","7,6","6","7","6","68","1","--","14","WSW","7,2","39","WSW","3","6","3","4","0,0","0,0","94","4,04","151","0,0","0","0,0","0","0,249","0,000"
"5/2/13 14:00","1003,3","20","38","5","18","7,6","6","6","6","69","1","--","19","WSW","9,7","47","WSW","2","6","2","3","0,0","0,0","141","6,07","169","0,1","0","0,0","0","0,256","0,000"
"5/2/13 14:30","1003,5","20","38","5","18","7,6","6","6","6","68","0","--","14","W","7,2","40","W","3","6","3","3","0,0","0,0","74","3,18","100","0,0","0","0,0","0","0,259","0,000"
"5/2/13 15:00","1003,6","20","38","5","18","7,6","2","6","2","86","-0","--","11","WNW","5,6","29","WNW","-1","2","-2","-2","0,0","0,0","25","1,08","40","0,0","0","0,0","0","0,345","0,000"
"5/2/13 15:30","1003,5","20","37","5","18","7,3","1","2","1","90","-1","--","6","WNW","3,2","23","NNW","-1","1","-1","-3","0,0","0,0","11","0,47","14","0,1","0","0,0","0","0,367","0,000"
"5/2/13 16:00","1003,0","20","37","5","18","7,3","0","1","0","92","-1","--","3","W","1,6","18","WNW","-0","0","-0","-2","0,0","0,0","3","0,13","11","0,0","0","0,0","0","0,374","0,000"
"5/2/13 16:30","1003,7","20","37","5","18","7,3","0","0","0","94","-1","--","2","W","0,8","13","W","0","0","0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,380","0,000"
"5/2/13 17:00","1002,9","20","37","5","18","7,3","0","0","0","94","-1","--","0","","0,0","0","","0","0","0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,380","0,000"
"5/2/13 17:30","1002,5","20","37","5","18","7,3","0","0","0","95","-1","--","0","","0,0","0","","0","-0","-0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,381","0,000"
"5/2/13 18:00","1002,1","20","37","5","18","7,3","0","0","0","95","-1","--","0","","0,0","0","","0","0","0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,380","0,000"
"5/2/13 18:30","1001,8","20","37","5","18","7,3","0","0","0","95","-1","--","0","","0,0","0","","0","0","0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,378","0,000"
"5/2/13 19:00","1001,5","20","37","5","18","7,3","0","0","0","95","-1","--","0","","0,0","0","","0","0","0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,378","0,000"
"5/2/13 19:30","1001,4","20","37","5","18","7,3","0","0","0","95","-1","--","0","","0,0","6","SSW","0","0","0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,378","0,000"
"5/2/13 20:00","1001,3","20","37","5","19","7,3","0","0","0","95","-1","--","0","","0,0","2","SSW","0","0","0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,378","0,000"
"5/2/13 20:30","1001,6","20","37","5","19","7,3","0","0","0","96","-0","--","0","","0,0","6","S","0","0","0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,376","0,000"
"5/2/13 21:00","1001,7","20","37","5","19","7,3","0","0","0","96","-0","--","0","","0,0","10","SSW","0","0","0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,375","0,000"
"5/2/13 21:30","1001,4","20","37","5","19","7,3","0","0","0","95","-0","--","0","","0,0","3","W","0","0","0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,375","0,000"
"5/2/13 22:00","1001,3","20","37","5","18","7,3","0","0","0","95","-0","--","0","","0,0","6","WSW","0","0","0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,376","0,000"
"5/2/13 22:30","1001,4","20","37","5","18","7,3","0","0","0","95","-0","--","0","","0,0","0","","0","0","0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,377","0,000"
"5/2/13 23:00","1001,4","20","37","5","18","7,3","0","0","0","94","-1","--","0","","0,0","0","","0","0","0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,380","0,000"
"5/2/13 23:30","1001,6","20","37","4","18","7,3","0","0","0","94","-1","--","0","","0,0","8","SW","0","0","0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,375","0,000"
"6/2/13 00:00","1001,3","19","37","4","18","7,3","0","0","0","93","-1","--","0","","0,0","10","WSW","0","0","0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,375","0,000"
"6/2/13 00:30","1001,4","19","37","4","18","7,3","0","0","0","92","-1","--","0","","0,0","8","SW","0","0","0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,375","0,000"
"6/2/13 01:00","1001,9","19","37","4","18","7,3","0","0","0","92","-1","--","0","","0,0","10","SW","0","0","0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,376","0,000"
"6/2/13 01:30","1001,7","19","37","4","18","7,3","0","0","0","91","-1","--","2","WSW","0,8","8","W","0","0","0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,376","0,000"
"6/2/13 02:00","1001,7","19","38","4","18","7,6","0","0","0","89","-2","--","0","","0,0","10","NW","0","-0","-0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,381","0,000"
"6/2/13 02:30","1001,6","19","37","4","17","7,3","-0","0","-0","89","-2","--","0","","0,0","0","","-0","-0","-0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,387","0,000"
"6/2/13 03:00","1001,6","19","37","4","17","7,3","-1","-0","-1","90","-2","--","0","","0,0","0","","-1","-1","-1","-3","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,394","0,000"
"6/2/13 03:30","1001,5","19","37","4","17","7,3","-1","-0","-1","91","-2","--","0","","0,0","0","","-1","-1","-1","-3","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,394","0,000"
"6/2/13 04:00","1001,4","19","37","4","17","7,3","-0","-0","-1","89","-2","--","0","","0,0","11","WSW","-0","-0","-0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,385","0,000"
"6/2/13 04:30","1001,4","19","37","4","17","7,3","-0","-0","-0","88","-2","--","0","","0,0","8","SSW","-0","-0","-0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,387","0,000"
"6/2/13 05:00","1001,4","19","37","4","17","7,3","-0","-0","-0","87","-2","--","2","WSW","0,8","11","SW","-0","-0","-0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,390","0,000"
"6/2/13 05:30","1001,1","19","37","4","17","7,3","-0","-0","-0","84","-3","--","2","SW","0,8","11","SSW","-0","-1","-1","-3","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,391","0,000"
"6/2/13 06:00","1001,2","19","37","4","18","7,3","-1","-0","-1","83","-3","--","2","SW","0,8","10","S","-1","-1","-1","-3","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,394","0,000"
"6/2/13 06:30","1001,2","19","37","4","18","7,3","-1","-1","-1","81","-4","--","2","SW","0,8","14","SW","-1","-1","-1","-3","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,399","0,000"
"6/2/13 07:00","1000,9","19","37","4","18","7,3","-1","-1","-1","80","-4","--","0","","0,0","8","SW","-1","-1","-1","-3","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,399","0,000"
"6/2/13 07:30","1000,5","19","37","4","18","7,3","-1","-1","-1","79","-4","--","0","","0,0","6","WSW","-1","-1","-1","-3","0,0","0,0","6","0,26","11","0,0","0","0,0","0","0,394","0,000"
"6/2/13 08:00","1000,5","20","37","5","18","7,3","-1","-0","-1","79","-4","--","0","","0,0","0","","-1","-1","-1","-3","0,0","0,0","19","0,82","26","0,0","0","0,0","0","0,403","0,000"
